Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-06-17 10:34:14.227, 

Snapshot Time Stamp, Data channel 1 (µm)
2022-06-17 11:45:36.760212,  351.92373
2022-06-17 11:45:36.769812,  351.92384
2022-06-17 11:45:36.779412,  351.92384
2022-06-17 11:45:36.789012,  351.92384
2022-06-17 11:45:36.798612,  351.92384
2022-06-17 11:45:36.808212,  351.92384
2022-06-17 11:45:36.817812,  351.92384
2022-06-17 11:45:36.827412,  351.92373
2022-06-17 11:45:36.837012,  351.92373
2022-06-17 11:45:36.846612,  351.92373
2022-06-17 11:45:36.856212,  351.92373
2022-06-17 11:45:36.865812,  351.92373
2022-06-17 11:45:36.875412,  351.92384
2022-06-17 11:45:36.885012,  351.92408
2022-06-17 11:45:36.894612,  351.92432
2022-06-17 11:45:36.904212,  351.92420
2022-06-17 11:45:36.913812,  351.92420
2022-06-17 11:45:36.923412,  351.92420
2022-06-17 11:45:36.933012,  351.92408
2022-06-17 11:45:36.942611,  351.92408
2022-06-17 11:45:36.952212,  351.92408
2022-06-17 11:45:36.961812,  351.92408
2022-06-17 11:45:36.971412,  351.92408
2022-06-17 11:45:36.981011,  351.92456
2022-06-17 11:45:36.990612,  351.92468
2022-06-17 11:45:37.000211,  351.92587
2022-06-17 11:45:37.009812,  351.92587
2022-06-17 11:45:37.019411,  351.92599
2022-06-17 11:45:37.029011,  351.92599
2022-06-17 11:45:37.038612,  351.92611
2022-06-17 11:45:37.048211,  351.92635
2022-06-17 11:45:37.057811,  351.92611
2022-06-17 11:45:37.067411,  351.92611
2022-06-17 11:45:37.077012,  351.92611
2022-06-17 11:45:37.086611,  351.92587
2022-06-17 11:45:37.096211,  351.92587
2022-06-17 11:45:37.105811,  351.92468
2022-06-17 11:45:37.115411,  351.92408
2022-06-17 11:45:37.125011,  351.92408
2022-06-17 11:45:37.134611,  351.92408
2022-06-17 11:45:37.144211,  351.92444
2022-06-17 11:45:37.153811,  351.92468
2022-06-17 11:45:37.163411,  351.92444
2022-06-17 11:45:37.173011,  351.92444
2022-06-17 11:45:37.182611,  351.92444
2022-06-17 11:45:37.192211,  351.92420
2022-06-17 11:45:37.201811,  351.92420
2022-06-17 11:45:37.211411,  351.92408
2022-06-17 11:45:37.221011,  351.92373
2022-06-17 11:45:37.230611,  351.92373
2022-06-17 11:45:37.240211,  351.92373
2022-06-17 11:45:37.249811,  351.92396
2022-06-17 11:45:37.259411,  351.92373
2022-06-17 11:45:37.269011,  351.92373
2022-06-17 11:45:37.278611,  351.92373
2022-06-17 11:45:37.288211,  351.92373
2022-06-17 11:45:37.297811,  351.92373
2022-06-17 11:45:37.307411,  351.92337
2022-06-17 11:45:37.317011,  351.92337
2022-06-17 11:45:37.326611,  351.92337
2022-06-17 11:45:37.336211,  351.92337
2022-06-17 11:45:37.345811,  351.92337
2022-06-17 11:45:37.355411,  351.92396
2022-06-17 11:45:37.365011,  351.92396
2022-06-17 11:45:37.374611,  351.92408
2022-06-17 11:45:37.384211,  351.92396
2022-06-17 11:45:37.393811,  351.92408
2022-06-17 11:45:37.403411,  351.92408
2022-06-17 11:45:37.413011,  351.92408
2022-06-17 11:45:37.422611,  351.92396
2022-06-17 11:45:37.432211,  351.92444
2022-06-17 11:45:37.441811,  351.92396
2022-06-17 11:45:37.451411,  351.92396
2022-06-17 11:45:37.461010,  351.92396
2022-06-17 11:45:37.470611,  351.92396
2022-06-17 11:45:37.480211,  351.92396
2022-06-17 11:45:37.489810,  351.92408
2022-06-17 11:45:37.499410,  351.92408
2022-06-17 11:45:37.509011,  351.92432
2022-06-17 11:45:37.518610,  351.92539
2022-06-17 11:45:37.528210,  351.92539
2022-06-17 11:45:37.537811,  351.92480
2022-06-17 11:45:37.547410,  351.92516
