Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-07-12 15:18:17.396, 

Protocol Time Stamp(s), Data channel 1 (µm), Data channel 2 (µm), State channel 1
2022-07-12 15:20:22.830694, 1859.35163, 2137.05266, 000000
2022-07-12 15:20:22.840294, 1859.35175, 2137.05266, 000000
2022-07-12 15:20:22.849894, 1859.35210, 2137.05266, 000000
2022-07-12 15:20:22.859494, 1859.35210, 2137.05266, 000000
2022-07-12 15:20:22.869094, 1859.35210, 2137.05266, 000000
2022-07-12 15:20:22.878694, 1859.35210, 2137.05266, 000000
2022-07-12 15:20:22.888294, 1859.35210, 2137.05266, 000000
2022-07-12 15:20:22.897894, 1859.35210, 2137.05266, 000000
2022-07-12 15:20:22.907494, 1859.35270, 2137.05266, 000000
2022-07-12 15:20:22.917094, 1859.35270, 2137.05266, 000000
2022-07-12 15:20:22.926694, 1859.35556, 2137.05266, 000000
2022-07-12 15:20:22.936294, 1859.35556, 2137.05266, 000000
2022-07-12 15:20:22.945894, 1859.35270, 2137.05266, 000000
2022-07-12 15:20:22.955494, 1859.34972, 2137.05266, 000000
2022-07-12 15:20:22.965094, 1859.34936, 2137.05266, 000000
2022-07-12 15:20:22.974694, 1859.34936, 2137.05266, 000000
2022-07-12 15:20:22.984294, 1859.34745, 2137.05266, 000000
2022-07-12 15:20:22.993894, 1859.34745, 2137.05266, 000000
2022-07-12 15:20:23.003494, 1859.34745, 2137.05266, 000000
2022-07-12 15:20:23.013094, 1859.35377, 2137.05266, 000000
2022-07-12 15:20:23.022694, 1859.35377, 2137.05266, 000000
2022-07-12 15:20:23.032294, 1859.35377, 2137.05266, 000000
2022-07-12 15:20:23.041893, 1859.35413, 2137.05266, 000000
2022-07-12 15:20:23.051494, 1859.35413, 2137.05266, 000000
2022-07-12 15:20:23.061094, 1859.35413, 2137.05266, 000000
2022-07-12 15:20:23.070693, 1859.35282, 2137.05266, 000000
2022-07-12 15:20:23.080294, 1859.35163, 2137.05266, 000000
2022-07-12 15:20:23.089894, 1859.35163, 2137.05266, 000000
2022-07-12 15:20:23.099494, 1859.35246, 2137.05266, 000000
2022-07-12 15:20:23.109093, 1859.35163, 2137.05266, 000000
2022-07-12 15:20:23.118694, 1859.35163, 2137.05266, 000000
2022-07-12 15:20:23.128294, 1859.35139, 2137.05266, 000000
2022-07-12 15:20:23.137893, 1859.35139, 2137.05266, 000000
2022-07-12 15:20:23.147493, 1859.35139, 2137.05266, 000000
2022-07-12 15:20:23.157094, 1859.35175, 2137.05266, 000000
2022-07-12 15:20:23.166693, 1859.35175, 2137.05266, 000000
2022-07-12 15:20:23.176293, 1859.35175, 2137.05266, 000000
2022-07-12 15:20:23.185893, 1859.35127, 2137.05266, 000000
2022-07-12 15:20:23.195493, 1859.35330, 2137.05266, 000000
2022-07-12 15:20:23.205093, 1859.35401, 2137.05266, 000000
2022-07-12 15:20:23.214693, 1859.35401, 2137.05266, 000000
2022-07-12 15:20:23.224293, 1859.35330, 2137.05266, 000000
2022-07-12 15:20:23.233893, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:23.243493, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:23.253093, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:23.262693, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:23.272293, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:23.281893, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:23.291493, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:23.301093, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:23.310693, 1859.35103, 2137.05266, 000000
2022-07-12 15:20:23.320293, 1859.35103, 2137.05266, 000000
2022-07-12 15:20:23.329893, 1859.35008, 2137.05266, 000000
2022-07-12 15:20:23.339493, 1859.35008, 2137.05266, 000000
2022-07-12 15:20:23.349093, 1859.34924, 2137.05266, 000000
2022-07-12 15:20:23.358693, 1859.34924, 2137.05266, 000000
2022-07-12 15:20:23.368293, 1859.34829, 2137.05266, 000000
2022-07-12 15:20:23.377893, 1859.34924, 2137.05266, 000000
2022-07-12 15:20:23.387493, 1859.34924, 2137.05266, 000000
2022-07-12 15:20:23.397093, 1859.35175, 2137.05266, 000000
2022-07-12 15:20:23.406693, 1859.34829, 2137.05266, 000000
2022-07-12 15:20:23.416293, 1859.34745, 2137.05266, 000000
2022-07-12 15:20:23.425893, 1859.34745, 2137.05266, 000000
2022-07-12 15:20:23.435493, 1859.34769, 2137.05266, 000000
2022-07-12 15:20:23.445093, 1859.34590, 2137.05266, 000000
2022-07-12 15:20:23.454693, 1859.34745, 2137.05266, 000000
2022-07-12 15:20:23.464293, 1859.34745, 2137.05266, 000000
2022-07-12 15:20:23.473893, 1859.34769, 2137.05266, 000000
2022-07-12 15:20:23.483493, 1859.34853, 2137.05266, 000000
2022-07-12 15:20:23.493093, 1859.35103, 2137.05266, 000000
2022-07-12 15:20:23.502693, 1859.34853, 2137.05266, 000000
2022-07-12 15:20:23.512293, 1859.34853, 2137.05266, 000000
2022-07-12 15:20:23.521893, 1859.34853, 2137.05266, 000000
2022-07-12 15:20:23.531493, 1859.34853, 2137.05266, 000000
2022-07-12 15:20:23.541093, 1859.35330, 2137.05266, 000000
2022-07-12 15:20:23.550693, 1859.34960, 2137.05266, 000000
2022-07-12 15:20:23.560293, 1859.34877, 2137.05266, 000000
2022-07-12 15:20:23.569893, 1859.34960, 2137.05266, 000000
2022-07-12 15:20:23.579493, 1859.34960, 2137.05266, 000000
2022-07-12 15:20:23.589092, 1859.35210, 2137.05266, 000000
2022-07-12 15:20:23.598693, 1859.34960, 2137.05266, 000000
2022-07-12 15:20:23.608293, 1859.34960, 2137.05266, 000000
2022-07-12 15:20:23.617893, 1859.34960, 2137.05266, 000000
2022-07-12 15:20:23.627492, 1859.35043, 2137.05266, 000000
2022-07-12 15:20:23.637093, 1859.35163, 2137.05266, 000000
2022-07-12 15:20:23.646692, 1859.35163, 2137.05266, 000000
2022-07-12 15:20:23.656292, 1859.35043, 2137.05266, 000000
2022-07-12 15:20:23.665892, 1859.35163, 2137.05266, 000000
